"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7.1","1","0.2","0","7.1","0","0"
"1","1","1","0","0","6.6","1","0.2","0","6.6","0","0"
"1","1","2","0","0","5.9","1","0.2","0","5.9","0","0"
"1","1","3","0","0","5.4","1","0.2","0","5.4","0","0"
"1","1","4","0","0","4.9","1","0.2","0","4.9","0","0"
"1","1","5","0","0","4.4","1","0.2","0","4.4","0","0"
"1","1","6","0","6","4.8","1","0.2","0","4.8","0","0"
"1","1","7","118","24","7.3","1","0.2","50.692","8.758","1452.681","1242.823"
"1","1","8","572","45","11.2","1","0.2","274.704","19.436","9173.426","8689.991"
"1","1","9","767","57","16","1","0.2","482.42","30.621","16302.577","15566.528"
"1","1","10","809","66","16.3","2.1","0.2","604.039","30.588","20379.198","19498.698"
"1","1","11","851","66","17","2.1","0.2","678.938","33.048","22682.279","21720.172"
"1","1","12","858","67","18","2.6","0.2","683.216","32.696","22879.484","21910.389"
"1","1","13","823","69","17.2","3.1","0.2","611.672","29.283","20799.322","19903.935"
"1","1","14","725","68","17","3.1","0.2","468.006","26.26","16105.365","15376.304"
"1","1","15","572","56","16","3.6","0.2","283.447","21.102","9300.314","8812.383"
"1","1","16","237","22","14.4","2.1","0.2","65.839","15.55","1110.585","912.849"
"1","1","17","0","1","12.5","0","0.2","0","12.5","0","0"
"1","1","18","0","0","11.5","2.6","0.2","0","11.5","0","0"
"1","1","19","0","0","11.5","2.6","0.2","0","11.5","0","0"
"1","1","20","0","0","11.2","2.6","0.2","0","11.2","0","0"
"1","1","21","0","0","11","2.6","0.2","0","11","0","0"
"1","1","22","0","0","11","2.6","0.2","0","11","0","0"
"1","1","23","0","0","10.8","2.6","0.2","0","10.8","0","0"
"1","2","0","0","0","11","2.1","0.2","0","11","0","0"
"1","2","1","0","0","11.2","3.6","0.2","0","11.2","0","0"
"1","2","2","0","0","12","4.1","0.2","0","12","0","0"
"1","2","3","0","0","11","4.6","0.2","0","11","0","0"
"1","2","4","0","0","11","4.6","0.2","0","11","0","0"
"1","2","5","0","0","11","4.1","0.2","0","11","0","0"
"1","2","6","0","7","11","4.6","0.2","0","11","0","0"
"1","2","7","8","36","11.3","5.1","0.2","36.641","11.834","1139.079","940.333"
"1","2","8","1","84","11.6","5.1","0.2","82.693","12.821","2762.268","2506.006"
"1","2","9","0","112","11.7","5.1","0.2","109.752","13.318","3677.203","3388.522"
"1","2","10","0","44","11.7","5.1","0.2","42.747","12.329","1376.322","1169.17"
"1","2","11","0","55","13.7","5.1","0.2","53.452","14.486","1716.441","1497.237"
"1","2","12","1","107","14.7","6.2","0.2","105.168","16.061","3451.849","3171.152"
"1","2","13","0","89","15.7","6.7","0.2","86.632","16.764","2827.589","2569.012"
"1","2","14","0","45","14.6","5.7","0.2","43.702","15.2","1406.301","1198.086"
"1","2","15","0","38","14.7","5.1","0.2","36.896","15.244","1174.715","974.706"
"1","2","16","0","13","14.7","3.6","0.2","12.618","14.89","238.005","71.187"
"1","2","17","0","0","14.6","2.6","0.2","0","14.6","0","0"
"1","2","18","0","0","14.7","2.1","0.2","0","14.7","0","0"
"1","2","19","0","0","14.7","2.1","0.2","0","14.7","0","0"
"1","2","20","0","0","13.7","2.1","0.2","0","13.7","0","0"
"1","2","21","0","0","13.6","2.1","0.2","0","13.6","0","0"
"1","2","22","0","0","11.7","1","0.2","0","11.7","0","0"
"1","2","23","0","0","12.3","2.1","0.2","0","12.3","0","0"
"1","3","0","0","0","12.3","3.1","0.2","0","12.3","0","0"
"1","3","1","0","0","11.8","2.6","0.2","0","11.8","0","0"
"1","3","2","0","0","12.3","3.1","0.2","0","12.3","0","0"
"1","3","3","0","0","12.6","3.6","0.2","0","12.6","0","0"
"1","3","4","0","0","12.6","2.6","0.2","0","12.6","0","0"
"1","3","5","0","0","12.6","2.1","0.2","0","12.6","0","0"
"1","3","6","0","3","12.6","3.1","0.2","0","12.6","0","0"
"1","3","7","0","12","12.8","2.6","0.2","11.637","13.047","345.736","175.101"
"1","3","8","0","20","13","3.1","0.2","19.406","13.381","608.849","428.891"
"1","3","9","0","48","13.5","2.1","0.2","46.624","14.596","1502.352","1290.733"
"1","3","10","0","75","14.5","3.1","0.2","72.907","15.928","2363.996","2121.846"
"1","3","11","0","115","14.7","3.6","0.2","112.39","16.731","3683.6","3394.691"
"1","3","12","0","148","16","3.1","0.2","145.841","18.855","4791.787","4463.611"
"1","3","13","0","122","15.8","2.6","0.2","119.927","18.363","3938.463","3640.524"
"1","3","14","0","83","15.8","2.6","0.2","81.064","17.536","2650.118","2397.83"
"1","3","15","0","51","15.8","2.6","0.2","49.617","16.862","1589.491","1374.785"
"1","3","16","0","18","14.9","1.5","0.2","17.855","15.296","341.666","171.176"
"1","3","17","0","1","14.6","1.5","0.2","0","14.6","0","0"
"1","3","18","0","0","14.6","1.5","0.2","0","14.6","0","0"
"1","3","19","0","0","13.8","0","0.2","0","13.8","0","0"
"1","3","20","0","0","13.4","0","0.2","0","13.4","0","0"
"1","3","21","0","0","12.4","0","0.2","0","12.4","0","0"
"1","3","22","0","0","11","0","0.2","0","11","0","0"
"1","3","23","0","0","9.8","0","0.2","0","9.8","0","0"
"1","4","0","0","0","9","1","0.2","0","9","0","0"
"1","4","1","0","0","8.8","1","0.2","0","8.8","0","0"
"1","4","2","0","0","8","1","0.2","0","8","0","0"
"1","4","3","0","0","6.8","0","0.2","0","6.8","0","0"
"1","4","4","0","0","6.8","0","0.2","0","6.8","0","0"
"1","4","5","0","0","6.8","0","0.2","0","6.8","0","0"
"1","4","6","0","6","6.6","0","0.2","0","6.6","0","0"
"1","4","7","184","31","8.2","0","0.2","70.93","10.917","2009.122","1779.547"
"1","4","8","572","53","12.5","0","0.2","282.446","23.839","9284.437","8797.068"
"1","4","9","732","71","16","1","0.2","480.379","30.554","16217.113","15484.092"
"1","4","10","558","124","16.4","3.6","0.2","507.472","25.638","17294.286","16523.097"
"1","4","11","20","183","16","2.6","0.2","195.552","20.175","6467.582","6080.026"
"1","4","12","183","176","18","3.1","0.2","320.956","24.305","10739.836","10200.897"
"1","4","13","418","129","18","3.6","0.2","419.832","25.644","14255.288","13591.783"
"1","4","14","558","119","18.2","3.6","0.2","437.557","26.186","14970.36","14281.516"
"1","4","15","348","59","16.2","3.6","0.2","203.502","19.871","6685.531","6290.252"
"1","4","16","209","27","14.6","3.1","0.2","69.792","15.642","1221.58","1019.91"
"1","4","17","0","1","12.5","1.5","0.2","0","12.5","0","0"
"1","4","18","0","0","11","1.5","0.2","0","11","0","0"
"1","4","19","0","0","9.8","2.1","0.2","0","9.8","0","0"
"1","4","20","0","0","8.5","0","0.2","0","8.5","0","0"
"1","4","21","0","0","8.2","1","0.2","0","8.2","0","0"
"1","4","22","0","0","7.5","1","0.2","0","7.5","0","0"
"1","4","23","0","0","6.8","1","0.2","0","6.8","0","0"
"1","5","0","0","0","5.8","2.1","0.2","0","5.8","0","0"
"1","5","1","0","0","5.8","2.1","0.2","0","5.8","0","0"
"1","5","2","0","0","5.8","2.1","0.2","0","5.8","0","0"
"1","5","3","0","0","5.5","2.1","0.2","0","5.5","0","0"
"1","5","4","0","0","5","2.1","0.2","0","5","0","0"
"1","5","5","0","0","8","3.1","0.2","0","8","0","0"
"1","5","6","0","7","10","3.6","0.2","0","10","0","0"
"1","5","7","238","29","11.7","4.1","0.2","80.306","12.977","2219.955","1982.909"
"1","5","8","648","45","14","4.1","0.2","303.023","19.083","10148.571","9630.583"
"1","5","9","816","56","15.5","5.1","0.2","507.932","23.045","17670.711","16886.183"
"1","5","10","883","60","16.8","5.1","0.2","647.399","26.401","22208.602","21263.279"
"1","5","11","895","60","16.8","5.1","0.2","706.775","27.273","24129.25","23115.871"
"1","5","12","895","60","17.4","5.1","0.2","706.424","27.871","24086.737","23074.864"
"1","5","13","872","57","17.3","5.7","0.2","635.92","26.083","21894.261","20960.077"
"1","5","14","781","50","17.3","5.1","0.2","481.27","24.456","16700.491","15950.342"
"1","5","15","628","40","16","4.6","0.2","290.763","20.545","9605.665","9106.914"
"1","5","16","272","19","13.5","2.6","0.2","73.19","14.66","1240.23","1037.9"
"1","5","17","0","1","10.4","3.1","0.2","0","10.4","0","0"
"1","5","18","0","0","10.4","3.1","0.2","0","10.4","0","0"
"1","5","19","0","0","10","3.1","0.2","0","10","0","0"
"1","5","20","0","0","11","3.6","0.2","0","11","0","0"
"1","5","21","0","0","14.5","6.2","0.2","0","14.5","0","0"
"1","5","22","0","0","14.5","7.7","0.2","0","14.5","0","0"
"1","5","23","0","0","15","7.7","0.2","0","15","0","0"
"1","6","0","0","0","12","8.8","0.2","0","12","0","0"
