"Month","Daily Average POA Irradiance (kWh/m2/day)","DC Array Output (kWh)","AC System Output (kWh)"
"1","2.596","1909.78","1806.756"
"2","3.26","2179.51","2067.376"
"3","4.04","2979.881","2832.21"
"4","5.23","3677.003","3502.332"
"5","6.267","4495.913","4288.595"
"6","6.538","4520.119","4311.976"
"7","6.656","4717.556","4500.791"
"8","6.104","4314.396","4114.308"
"9","5.479","3757.326","3580.493"
"10","4.134","2972.282","2827.955"
"11","3.07","2159.969","2046.354"
"12","2.437","1791.239","1691.429"
