"Month","Daily Average POA Irradiance (kWh/m2/day)","DC Array Output (kWh)","AC System Output (kWh)"
"1","3.144","3231.992","3068.508"
"2","3.68","3423.414","3253.788"
"3","4.414","4520.901","4302.371"
"4","5.476","5336.632","5086.087"
"5","6.34","6298.557","6008.912"
"6","6.511","6233.415","5946.532"
"7","6.675","6550.463","6249.704"
"8","6.31","6172.822","5888.729"
"9","5.943","5650.325","5389.609"
"10","4.747","4746.469","4524.274"
"11","3.728","3661.492","3480.104"
"12","2.966","3060.717","2901.951"
